id,reference_path,search_path,gt_x,gt_y,gt_box_x,gt_box_y,gt_box_w,gt_box_h,architecture,beam_spot_size_nm,collapse_threshold_nm,dose_reference,dose_search,shear_amplitude_px,drift_jitter_px,astigmatism_ratio,vignette_strength,gamma,barrel_distortion_k,charging_streak_prob,charging_streak_intensity,speckle_sigma,salt_pepper_prob,linewidth_bias_nm,corner_rounding_px,mat_size_nm,strip_width_nm,boundary_bias,polygon_rotation_deg,stage_tilt_deg,seed
10,./output/dram30/train/reference/00010.png,./output/dram30/train/search/00010.png,81.2,151.8,31.2,101.8,100,100,dram_loose,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.0,0.0,1130604997
11,./output/dram30/train/reference/00011.png,./output/dram30/train/search/00011.png,353.8,486.6,303.8,436.6,100,100,dram_loose,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.0,0.0,2095133045
12,./output/dram30/train/reference/00012.png,./output/dram30/train/search/00012.png,872.9,139.0,822.9,89.0,100,100,dram_loose,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,1.5,0.0,1580016183
13,./output/dram30/train/reference/00013.png,./output/dram30/train/search/00013.png,260.0,419.6,210.0,369.6,100,100,dram_loose,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,2.5,0.0,1634535062
14,./output/dram30/train/reference/00014.png,./output/dram30/train/search/00014.png,541.8,101.4,491.8,51.4,100,100,dram_loose,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,3.0,0.0,1540770719
15,./output/dram30/train/reference/00015.png,./output/dram30/train/search/00015.png,921.0,838.2,871.0,788.2,100,100,dram_wide,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.0,0.0,1688060240
16,./output/dram30/train/reference/00016.png,./output/dram30/train/search/00016.png,764.5,730.9,714.5,680.9,100,100,dram_wide,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.0,0.0,1102145672
17,./output/dram30/train/reference/00017.png,./output/dram30/train/search/00017.png,330.6,208.5,280.6,158.5,100,100,dram_wide,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,1.5,0.0,275121930
18,./output/dram30/train/reference/00018.png,./output/dram30/train/search/00018.png,835.2,107.7,785.2,57.7,100,100,dram_wide,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,2.5,0.0,1803345590
19,./output/dram30/train/reference/00019.png,./output/dram30/train/search/00019.png,618.8,470.7,568.8,420.7,100,100,dram_wide,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,3.0,0.0,967196436
20,./output/dram30/train/reference/00020.png,./output/dram30/train/search/00020.png,390.1,148.7,340.1,98.7,100,100,dram_compact,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.0,0.0,1074497555
21,./output/dram30/train/reference/00021.png,./output/dram30/train/search/00021.png,626.2,432.2,576.2,382.2,100,100,dram_compact,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.0,0.0,796282693
22,./output/dram30/train/reference/00022.png,./output/dram30/train/search/00022.png,584.5,796.2,534.5,746.2,100,100,dram_compact,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,1.5,0.0,392022359
23,./output/dram30/train/reference/00023.png,./output/dram30/train/search/00023.png,670.7,420.3,620.7,370.3,100,100,dram_compact,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,2.5,0.0,1990212658
24,./output/dram30/train/reference/00024.png,./output/dram30/train/search/00024.png,222.4,172.9,172.4,122.9,100,100,dram_compact,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,3.0,0.0,1678403330
25,./output/dram30/train/reference/00025.png,./output/dram30/train/search/00025.png,868.7,279.7,818.7,229.7,100,100,dram_legacy,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.0,0.0,1382689815
26,./output/dram30/train/reference/00026.png,./output/dram30/train/search/00026.png,284.1,590.4,234.1,540.4,100,100,dram_legacy,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.0,0.0,864178266
27,./output/dram30/train/reference/00027.png,./output/dram30/train/search/00027.png,762.5,333.7,712.5,283.7,100,100,dram_legacy,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,1.5,0.0,1766867109
28,./output/dram30/train/reference/00028.png,./output/dram30/train/search/00028.png,851.5,352.2,801.5,302.2,100,100,dram_legacy,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,2.5,0.0,1171300112
29,./output/dram30/train/reference/00029.png,./output/dram30/train/search/00029.png,660.4,294.3,610.4,244.3,100,100,dram_legacy,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,3.0,0.0,952224740
